categoria;urlCategoria;article;descripcio;tipus;urlArticle;creador;dataPublicacio;paraulesClaus
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els 100 millors bars de Barcelona per dia, tarda i nit;Les millors barres i bars de Barcelona: còctels, cervesa, vermuts i vins;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/els-100-millors-bars-de-barcelona;['Ricard Martín', 'Martí Sales', 'Òscar Broc', 'Montse Virgili', 'Júlia Gamissans'];2021-08-02T22:00:00Z;['Bars i pubs', 'Begudes: Còctels', 'Begudes: Amants del vi', 'Begudes: Amants de la cervesa', 'Begudes: Ambient de bar', 'Begudes: Rutes de bars', 'Begudes: Especialistes en cerveses', 'Categorias: Bars i pubs']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els millors llocs on prendre cervesa artesana a Barcelona;El boom de la cervesa artesana ha sacsejat la ciutat. Visitem els brolladors barcelonins que altres ciutats envegen;Article;https://www.timeout.cat/barcelona/ca/bars-i-pubs/les-millors-cerveseries-artesanes-de-barcelona;['Martí Sales', 'Òscar Broc', 'Aitor Labrador'];2021-08-04T22:00:00Z;['Bars i pubs', 'Categorias: Bars i pubs']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Les millors cocteleries de Barcelona;Fes un còctel a les grans barres de la ciutat;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/millors-cocteleries;;2021-05-10T22:00:00Z;['Bars i pubs', 'catalan: Barcelona', 'Bars i pubs: Cocteleries']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Vermut a Barcelona: els millors llocs per fer l'aperitiu;Descobreix locals on el sifó i les tapes són gairebé una religió;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/vermut-bodega-aperitiu;;2020-01-06T23:00:00Z;['Bars i pubs', 'Espanyola: Tapes']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els millors llocs on prendre cafè de Barcelona;Cafeteries d'especialitat: gaudir del millor cafè del món a la nostra ciutat;Article;https://www.timeout.cat/barcelona/ca/bars-i-pubs/els-millors-llocs-on-prendre-cafe-a-barcelona;Ricard Martín;2021-09-30T22:00:00Z;['Bars i pubs', 'Bars i pubs: Cafeteries']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;18 restaurants de Barcelona de cuina catalana que has de tastar;Restaurants i cases de menjars que cuinen com ningú els millors plats típics catalans: capipota, fricandó, escudella...;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/la-millor-cuina-catalana;Ricard Martín;2021-05-18T22:00:00Z;"['Restaurants', 'catalan: Barcelona', 'Menjar fora: Casolana', 'Restaurants: Catalana', 'global kickers: undefined', 'global kickers: Love Local', ""Activa't: Cultura popular""]"
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els 22 millors restaurants de cuina asiàtica de Barcelona;No cal anar a l’Orient per gaudir d’algunes de les gastronomies més delicioses del món: a Barcelona en tenim grans restaurants;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/50-millors-restaurants-de-Barcelona-cuina-asiatica;;2021-01-13T23:00:00Z;['Restaurants', 'Restaurants: Asiàtica', 'global kickers: undefined', 'global kickers: Love Local']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;La millor cuina llatinoamericana de Barcelona;Restaurants mexicans, peruans, veneçolans, argentins i jamaicans que ens fan viatjar per altres cuines plenes de matisos;Article;https://www.timeout.cat/barcelona/ca/restaurants/restaurants-de-cuina-llatinoamericana-a-barcelona;Time Out Barcelona Editors ;2020-12-20T23:00:00Z;['Restaurants', 'Begudes: Còctels', 'Menjar fora: Cuina creativa', 'Restaurants: Llatinoamericana', 'Notícies: Menjar']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els millors restaurants tailandesos –Time Out Barcelona –Menjar i Beure;Un passeig per la cuina més orgullosa, picant i delicada del sud-est asiàtic;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/els-millors-restaurants-tailandesos;;2018-09-30T22:00:00Z;['Restaurants', 'Restaurants: Tailandesa']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els millors restaurants bascos de Barcelona;Acompanya'ns a fer un tomb per la millor cuina basca de la nostra ciutat. On egin!;Article;https://www.timeout.cat/barcelona/ca/restaurants/els-millors-restaurants-bascos-de-barcelona;Ricard Martín;2017-10-25T22:00:00Z;['Restaurants', 'Espanyola: Basca']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;11 restaurants xinesos de Barcelona per tastar-hi plats autèntics;11 restaurants per assaborir la cuina xinesa tradicional més autèntica i els seus plats més representatius: fideus, dim sum, wonton..;Article;https://www.timeout.cat/barcelona/ca/restaurants-cafes/els-millors-restaurants-xinesos;;2021-02-08T23:00:00Z;['Restaurants', 'Categorias: Restaurants']
Cultura;https://www.timeout.cat/barcelona/ca/cultura;L'ABC de la intel·ligència artificial a Barcelona;Els noms, llocs i saraus que estan convertint la nostra ciutat en una de les capitals mundials de la intel·ligència artificial;Article;https://www.timeout.cat/barcelona/ca/que-fer/labc-de-la-intelligencia-artificial-a-barcelona;Javier Blánquez;2021-10-25T22:00:00Z;['Què fer', 'Categorias: Què fer']
Cultura;https://www.timeout.cat/barcelona/ca/cultura;In-Edit 2021: el millor del festival de documental musical;El festival torna al cinema, perquè els documentals de música no es ballen igual al sofà de casa que a les butaques de l’Aribau;Article;https://www.timeout.cat/barcelona/ca/cine/in-edit-les-millors-pellicules;Borja Duñó;2021-10-25T22:00:00Z;"['Cine', 'Cine: Documental', ""Tipus d'activitat: Concerts""]"
Cultura;https://www.timeout.cat/barcelona/ca/cultura;Les millors exposicions que pots veure ara mateix a Barcelona;Les propostes artístiques imprescindibles a museus i galeries;Article;https://www.timeout.cat/barcelona/ca/art/exposicions-a-barcelona-art-que-has-de-veure;Rita Roig;2021-10-18T22:00:00Z;"['Art', 'Art: Galeries', ""Tipus d'activitat: Exposició""]"
Cultura;https://www.timeout.cat/barcelona/ca/cultura;Cine: les millors estrenes del mes de novembre;Les pel·lícules que arriben aquests dies a la cartellera de Barcelona;Article;https://www.timeout.cat/barcelona/ca/films/les-millors-estrenes-de-cine;Àlex Montoya;2021-10-28T22:00:00Z;['Cine', 'Categorias: Cine']
Cultura;https://www.timeout.cat/barcelona/ca/cultura;Les estrenes de teatre que no et pots perdre aquest novembre a Barcelona;La llista dels millors espectacles que trepitjaran els escenaris de la ciutat;Article;https://www.timeout.cat/barcelona/ca/teatre/les-obres-de-teatre-del-mes-a-barcelona;Andreu Gomila;2021-10-27T22:00:00Z;['Teatre', 'Categorias: Teatre']
Cultura;https://www.timeout.cat/barcelona/ca/cultura;Les millors exposicions que pots veure ara mateix a Barcelona;Les propostes artístiques imprescindibles a museus i galeries;Article;https://www.timeout.cat/barcelona/ca/art/exposicions-a-barcelona-art-que-has-de-veure;Rita Roig;2021-10-18T22:00:00Z;"['Art', 'Art: Galeries', ""Tipus d'activitat: Exposició""]"
Cultura;https://www.timeout.cat/barcelona/ca/cultura;Les exposicions de fotografia a Barcelona que no t'has de perdre;Les millors cites per descobrir artistes de referència i els nous talents de la fotografia;Article;https://www.timeout.cat/barcelona/ca/art/temporada-de-fotografia;Rita Roig;2021-10-06T22:00:00Z;['Art', 'Art: Fotografia']
